"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"25401","滋賀県","神崎郡","かんざきぐん","永源寺町","えいげんじちょう","2005-02-11","八日市市(25205)、永源寺町(25401)、五個荘町(25402)、愛東町(25421)、湖東町(25422)が合併し、東近江市(25213)を新設"
"25402","滋賀県","神崎郡","かんざきぐん","五個荘町","ごかしょうちょう","2005-02-11","八日市市(25205)、永源寺町(25401)、五個荘町(25402)、愛東町(25421)、湖東町(25422)が合併し、東近江市(25213)を新設"
"25403","滋賀県","神崎郡","かんざきぐん","能登川町","のとがわちょう","2006-01-01","蒲生町(25382)、能登川町(25403)が東近江市(25213)に編入
神崎郡(25400)の廃止"
"25421","滋賀県","愛知郡","えちぐん","愛東町","あいとうちょう","1971-02-11","愛東村(25421)が愛東町(25421)に町制施行"
"25421","滋賀県","愛知郡","えちぐん","愛東村","あいとうむら","1971-02-11","愛東村(25421)が愛東町(25421)に町制施行"
"25421","滋賀県","愛知郡","えちぐん","愛東町","あいとうちょう","2005-02-11","八日市市(25205)、永源寺町(25401)、五個荘町(25402)、愛東町(25421)、湖東町(25422)が合併し、東近江市(25213)を新設"
"25422","滋賀県","愛知郡","えちぐん","湖東町","ことうちょう","2005-02-11","八日市市(25205)、永源寺町(25401)、五個荘町(25402)、愛東町(25421)、湖東町(25422)が合併し、東近江市(25213)を新設"
"25423","滋賀県","愛知郡","えちぐん","秦荘町","はたしょうちょう","2006-02-13","秦荘町(25423)、愛知川町(25424)が合併し、愛荘町(25425)を新設"
"25424","滋賀県","愛知郡","えちぐん","愛知川町","えちがわちょう","2006-02-13","秦荘町(25423)、愛知川町(25424)が合併し、愛荘町(25425)を新設"
"25425","滋賀県","愛知郡","えちぐん","愛荘町","あいしょうちょう","2006-02-13","秦荘町(25423)、愛知川町(25424)が合併し、愛荘町(25425)を新設"
"25441","滋賀県","犬上郡","いぬかみぐん","豊郷町","とよさとちょう","1971-02-11","豊郷村(25441)が豊郷町(25441)に町制施行"
"25441","滋賀県","犬上郡","いぬかみぐん","豊郷村","とよさとむら","1971-02-11","豊郷村(25441)が豊郷町(25441)に町制施行"
"25461","滋賀県","坂田郡","さかたぐん","山東町","さんとうちょう","2005-02-14","山東町(25461)、伊吹町(25462)、米原町(25463)が合併し、米原市(25214)を新設"
"25462","滋賀県","坂田郡","さかたぐん","伊吹村","いぶきむら","1971-02-01","伊吹村(25462)が伊吹町(25462)に町制施行"
"25462","滋賀県","坂田郡","さかたぐん","伊吹町","いぶきちょう","1971-02-01","伊吹村(25462)が伊吹町(25462)に町制施行"
"25462","滋賀県","坂田郡","さかたぐん","伊吹町","いぶきちょう","2005-02-14","山東町(25461)、伊吹町(25462)、米原町(25463)が合併し、米原市(25214)を新設"
"25463","滋賀県","坂田郡","さかたぐん","米原町","まいはらちょう","2005-02-14","山東町(25461)、伊吹町(25462)、米原町(25463)が合併し、米原市(25214)を新設"
"25464","滋賀県","坂田郡","さかたぐん","近江町","おうみちょう","2005-10-01","近江町(25464)が米原市(25214)に編入
坂田郡(25460)の廃止"
"25481","滋賀県","東浅井郡","ひがしあざいぐん","浅井町","あざいちょう","2006-02-13","長浜市(25203)、浅井町(25481)、びわ町(25484)が合併し、長浜市を新設"
"25482","滋賀県","東浅井郡","ひがしあざいぐん","虎姫町","とらひめちょう","2010-01-01","虎姫町(25482)、湖北町(25483)、高月町(25501)、木之本町(25502)、余呉町(25503)、西浅井町(25504)が長浜市(25203)に編入
伊香郡(25500)の廃止
東浅井郡(25480)の廃止"
